Gene_ID,T47D_ROSA26.KO_DMSO_rep1,T47D_ROSA26.KO_DMSO_rep2,T47D_ROSA26.KO_C70_rep1,T47D_ROSA26.KO_C70_rep2,T47D_ZBTB7A.KO_DMSO_rep1,T47D_ZBTB7A.KO_DMSO_rep2,T47D_ZBTB7A.KO_C70_rep1,T47D_ZBTB7A.KO_C70_rep2
R3HCC1,11.5793,14.0405,15.8173,13.7941,10.263,13.4735,8.5836,12.2332
HIST1H4B,0.586533,0,1.72134,0.59521,0,0,0,0
RBMS3,0.0320514,0.0540644,0.0418291,0.00497934,0,0,0.00600724,0.10792
FAM109B,3.45568,3.38205,4.56642,3.76031,4.552,5.90324,4.85963,6.29517
ZNF611,1.42214,1.17678,1.40989,1.58879,1.48284,1.56269,1.13806,1.5089
COL5A1,0.499584,0.11962,0.163548,0.356763,0.177899,0.133127,0.232648,0.248823
MED31,2.00219,4.77931,9.57961,5.07812,3.92285,7.87829,5.1481,5.69244
KIAA1407,3.87541,3.1145,6.30517,2.96227,4.17286,2.59396,3.30302,3.31166
NADSYN1,9.33227,9.70127,5.46482,11.8662,14.5557,12.507,10.2368,12.0675
PASK,3.27359,4.89264,0.518208,2.31187,2.71087,4.76334,2.57114,2.99205
DAND5,0,0,0.100213,0,0.0307242,0,0.124678,0.113624
IL4,0,0,0,0,0,0,0,0
ZNF587,4.95862,3.41671,1.59622,2.76786,3.81099,3.61625,3.09662,3.10511
CTDSP1,23.297,18.5036,10.6185,19.9527,19.7742,17.4114,18.6124,16.6356
CTD-2192J16.24,6.51059e-30,2.48887e-24,2.26255e-177,3.07968e-28,7.22188e-18,2.49605e-24,1.97011e-28,2.4446e-24
ELOVL3,2.47965,2.72262,2.36758,3.66763,1.87097,1.74964,2.59841,2.70923
EFEMP2,0.909558,0.834375,2.86095,0.58355,2.81112,1.83054,6.67644,3.34528
ZBTB42,10.691,9.04583,4.03696,7.43142,13.8606,11.5696,8.68811,7.4294
DCTN5,33.4508,36.1072,6.27552,37.488,33.422,40.6314,36.0273,43.3231
FAM83C,0,0,0,0,0,0,0,0
LSP1,0,0,0,0,0,0,0,0
UBE2NL,0.0460351,0.0996694,0.0542202,0.397685,0,0.337183,0.0569218,0.0519689
THSD4,44.923,21.4628,5.58765,15.7555,34.6757,22.8653,24.9277,12.992
CDSN,0,0,0,0,0,0.0215652,0.02147,0
PRX,2.04768,1.43178,1.06199,1.25344,1.707,1.39146,1.48929,1.23657
GPRASP1,0.0955857,0.0986013,0.0692861,0.10751,0.0904566,0.101848,0.0605513,0.152829
PDZD11,33.4706,37.8062,20.762,32.844,29.1154,35.2415,27.4266,28.6927
OLAH,0.0289572,0,0,0,0.101738,0,0,0
RRAS,34.3017,38.784,51.6794,36.1313,34.8886,28.3355,45.2725,30.2436
GJC2,0.101385,0.0437855,0.196697,0.0412843,0.112051,0.0751484,0.0999274,0
MOB3C,1.34468,1.23377,1.1564,0.871606,1.61157,1.32435,1.31471,1.06619
KLHL28,3.26255,3.36429,1.31412,2.83497,2.71646,2.89954,2.8402,2.62033
PARP3,4.06967,3.40009,2.34202,6.52061,3.61432,3.237,5.92483,5.55105
CTNNBIP1,15.2859,11.1054,9.311,12.5032,18.3803,16.4081,18.0539,13.9856
PRKACB,6.70325,7.80795,1.21674,4.96941,5.82242,4.02882,4.30608,4.58172
TBP,13.9196,11.6216,6.60286,10.3215,10.3052,11.1946,11.3502,12.5552
RNF175,0.0305977,0,0,0,0,0,0,0
MED15,20.2481,21.5664,8.5331,22.304,19.3689,20.5605,20.3477,19.0275
KRT3,0.0260398,0.0210468,0,0.0198825,0,0,0,0.00730505
ATP6AP2,106.771,88.171,76.2939,84.4505,99.8754,95.4691,100.628,92.9387
SPATA2,5.01471,4.14561,1.24394,3.7747,4.25104,4.26717,3.86858,2.84569
AGK,11.0827,9.82542,1.84264,7.83583,9.81767,9.02423,9.60218,7.80644
ATF1,19.0078,12.1569,16.2302,14.5105,15.6339,11.7795,14.9458,16.6827
EID2B,0.430634,0.328369,0.30539,0.30935,0.560141,0.218541,0.218618,0.170776
ELSPBP1,0,0,0,0,0,0,0,0
HRH2,0.0347245,0,0,0,0,0,0,0
DCX,0,0,0,0,0,0,0,0
TYMP,1.50283,1.52865,3.68595,1.84468,1.25389,0.849116,2.11089,0.979084
GPRC5D,0.0692796,0,0,0.0703087,0,0,0,0
SYCP2,25.1609,20.7642,23.7326,26.9741,26.4087,17.2455,28.1059,23.7486
OLR1,13.1702,14.3228,6.34642,24.4526,21.3992,24.4154,40.1739,22.0534
SLC22A11,0,0,0,0,0,0,0,0
ATXN7L1,1.89894,1.28163,0.365247,1.10887,1.37638,2.18179,1.50681,0.989749
CLCN6,2.53299,2.37377,0.535081,3.09254,1.92925,2.4675,2.04281,2.03342
A1BG,1.90188,1.81328,15.1616,1.93517,2.69084,3.133,3.49992,2.51559
GID4,1.81903,1.60552,1.01462,1.4089,1.60374,1.3367,1.99316,1.54859
ST8SIA5,0,0,0,0,0,0,0,0
MDGA1,1.42502,1.28934,0.350273,1.6478,1.39156,2.7857,2.64538,3.10767
C4BPA,0,0.0437855,0,0.0206422,0.0448206,0,0.132906,0.0227574
MAMDC4,1.42217,1.82262,1.52698,1.74327,1.28013,1.59936,1.29274,2.12287
COPE,82.1365,83.5711,143.765,88.5198,83.0693,94.6529,82.7558,84.3129
SLC38A9,11.5067,12.8139,2.18168,11.9074,10.2753,9.38896,8.27149,12.7635
TOMM40,31.9849,47.8478,31.3209,43.5243,28.4534,43.9928,33.2701,45.4645
SEPT8,25.4902,24.4409,4.8592,23.0116,29.4629,27.8946,25.4086,21.7682
FCGRT,26.3446,15.3615,28.9199,11.4207,29.7215,25.0433,24.4713,17.4155
S100PBP,8.2325,6.33041,1.91229,6.35778,6.68124,6.55499,7.3215,6.12186
TEX30,13.9246,17.2169,31.6453,15.5501,13.5386,12.5797,12.5115,15.8375
KIAA1586,1.81118,2.40886,1.46466,2.58842,1.56706,2.09628,1.62855,2.43666
FHL1,0.0574673,0.128632,0.0474535,0,0.0648253,0,0.109101,0
OR2T11,0,0,0,0,0,0,0,0
RHOXF2B,0,0,0,0,0,0,0,0
WDR17,0,0,0.0103496,0,0,0,0,0.0114057
DCTN1,22.1523,22.6796,6.88675,22.8265,20.0362,26.2673,19.6342,22.0264
VWA5B2,0.834955,0.717089,1.06773,2.4579,0.411635,0.455498,1.88767,2.54969
UNCX,0,0,0,0,0,0,0,0
NUP88,13.4807,17.4404,5.74324,18.6045,12.9863,17.4979,12.9088,17.697
NPCDR1,0,0,0,0,0,0,0,0
COX6B2,0.131717,0.0520117,0.290684,0,0.491611,0.0359519,0.267117,0.0657297
TMEM212,0,0,0,0,0.0277141,0,0.0309039,0.0281637
LHCGR,0,0,0,0,0,0,0,0
LSMD1,48.455,57.372,195.888,55.3587,44.7792,68.3795,31.8233,48.02
ASCC3,7.80752,7.06436,1.70643,9.00751,6.31507,6.72209,6.94764,6.17353
SETDB1,23.7977,16.8496,6.84289,18.4355,20.3231,18.4048,16.3509,14.2962
GTF2F1,44.3096,42.1083,24.5443,41.2493,37.6711,47.8211,40.765,43.6065
AL137026.1,0,0,0,0,0,0,0,0
BECN1,28.1521,27.983,32.5744,31.1614,30.1299,31.8881,32.864,29.1988
PSCA,0.228843,0.310019,0.332775,0.639128,0.380432,0.277932,0.354258,0.129499
KDM6B,6.54029,3.56079,1.57705,4.22866,6.67811,4.39922,6.39339,4.01547
GPT,0.57504,0.216057,0.690876,0.106114,0.939822,0.431458,0.277411,0.421351
USP6NL,8.86876,7.6808,3.07015,8.89093,7.53579,6.82901,8.86918,8.96149
AC093157.1,0.771037,0.537334,1.65006,0.506251,0.412476,0.367928,0.551933,0.363268
RECQL4,12.0094,20.6937,21.5041,20.0849,13.2373,21.7939,13.3597,21.7082
GOLGA6B,0.0179291,0.0696968,0.00651279,0,0,0,0.0530232,0.0181151
NXF2,0.13139,0.284132,0.0966987,0.135415,0.0322675,0.0481115,0.0239783,0.0218418
CELF5,0.397947,0.196691,0.241023,0.361439,0.462219,0.568076,0.902768,0.334014
FBXO40,0,0,0,0,0,0,0,0
SREBF1,32.0843,31.333,17.3253,29.1728,29.5192,35.1028,26.9245,32.783
C22orf42,0,0,0,0,0,0,0,0.0426684
CYP8B1,0.0533309,0.0345144,0.0261547,0.0325949,0.0235597,0,0,0
DEFB1,0,0,0,0,0,0,0,0
TP53TG3B,0.39735,0.0835532,0.0765306,0.0777177,0.0692175,0.251466,0.509757,0.0958855
WDR13,27.3919,20.5977,32.3795,20.9288,28.5733,21.0516,27.4259,20.6233
TRPA1,0.0155933,0,0,0,0,0.0193055,0,0
AL646016.1,0,0,0,0,0,0,0,0
MOB4,20.1525,17.8972,40.0263,21.1374,22.8411,19.687,25.682,25.5555
MED20,12.2162,13.4983,5.29934,11.7539,13.0796,14.3152,13.629,11.6912
MARCO,0,0,0,0,0,0,0,0
USP8,21.7817,13.5939,13.0717,15.7598,17.3233,15.5553,16.409,16.3522
SLC25A41,0.259674,0.140358,0.271719,0.330178,0.179535,0.119619,0.40059,0.146122
B3GAT3,47.8478,43.2366,102.796,37.2833,57.7149,50.208,53.774,42.2037
NCAPH2,17.8568,24.0493,19.4674,23.6162,17.6653,25.4163,17.0043,21.243
IL10RA,0,0,0,0.0273258,0,0,0.0331148,0.0603676
SPRR4,0,0,0,0,0,0,0,0
ARID2,8.73555,6.59033,4.90482,6.84836,8.34943,6.93009,8.00791,6.85387
TBC1D22B,3.99751,3.89993,0.905872,4.07158,4.56535,3.7175,4.35777,3.24827
FRMD8,12.4868,11.2871,4.70024,11.31,12.5832,12.8136,9.46578,11.916
MSANTD3,4.27407,3.97158,2.40608,4.35589,2.27845,3.89514,2.27403,3.89436
KPNA5,1.23669,1.17382,1.47028,0.86298,1.28255,1.73947,1.64164,1.32906
KRTAP9-1,0,0,0,0,0,0,0,0
TUBA3E,0,0,0,0,0,0,0,0
SLC51A,0.0975528,0.743144,0,0.0701151,0.32532,0,0.571077,0
CHODL,0,0.0322201,0,0.0606637,0,0,0,0
GTF3C4,9.7471,9.27261,3.60671,10.2969,8.56316,8.64378,9.17341,9.27659
DOK3,0.917202,3.80564,0.0970736,2.48019,1.77487,2.77841,1.99471,3.27624
PRSS8,40.8271,28.1967,55.0544,27.8073,34.5331,27.658,35.4394,22.171
PRTN3,1.0617,0.423867,1.23693,0.462731,0.805007,0.339536,0.761085,0.386701
POLE4,7.51666,7.57967,19.8926,8.76975,6.14654,7.62351,6.38682,8.57547
PI3,1.13738,0.71136,1.38031,1.97235,0.362335,0.379587,0.610948,1.68715
TMEM40,13.596,8.58682,19.8228,12.6083,9.64213,6.51385,9.05191,8.47207
DYDC1,0,0.156308,0,0,0,0,0,0
CD99L2,3.92561,3.44551,1.17033,2.96935,4.7611,4.24425,3.0973,2.94402
TRPC5,0,0,0,0,0,0,0,0
MTERFD2,8.387,8.89124,4.86306,8.19123,9.74671,9.38135,11.4747,8.40927
CEND1,0,0.0319229,0.0708831,0.120212,0,0,0.03644,0
FOXN4,0.132488,0.015884,0.147991,0.0912464,0.155517,0.0546975,0.254176,0.100378
SS18L2,25.0358,31.4219,43.296,29.3143,29.5425,25.6111,26.5191,28.5944
TCEAL7,0,0,0,0,0,0,0,0
ANAPC1,8.41721,8.21787,1.83422,8.52829,7.53066,6.64588,7.21621,8.09524
ABLIM2,0.173764,0.0311769,0.0210119,0.0351665,0.112235,0,0,0
APOBEC3F,2.69892,2.23761,2.321,2.11357,2.91731,3.88124,3.22614,2.87856
TMEM167A,18.4467,20.6677,13.6562,21.1051,20.6773,19.9226,21.3445,21.5594
ZNF419,4.64624,2.60781,1.94459,3.00947,4.25828,5.40105,3.62513,3.45682
SP8,0,0,0,0,0,0,0,0.0340337
ZNF410,40.5732,29.9307,21.6167,33.2606,27.5055,28.2067,24.3955,30.6735
VGLL3,0.0343953,0.0329544,0.0330616,0.0233679,0.0126557,0,0.0140929,0.0170932
CHRDL2,0,0,0,0,0,0,0,0.781514
ANK2,0.369019,0.394719,0.0987146,0.280066,0.0351125,0.188132,0.417014,0.0934722
RCVRN,0,0,0,0,0,0,0,0
DNAJC7,63.2144,69.3452,81.0216,64.4207,58.513,62.6058,58.9861,61.3459
TYRP1,6.1301,6.00795,6.30359,11.1431,7.5753,8.8858,19.5144,16.4132
STK35,5.55237,5.00892,2.11688,4.836,5.66902,5.06768,4.94898,4.52423
ZNF71,1.38227,1.20237,1.01628,1.03425,0.807163,1.09982,1.84237,0.915457
KCNK13,0.0706964,0,0.0644849,0,0,0,0.0217671,0.0198244
CTSZ,82.1922,85.3118,77.4433,88.2361,77.5293,81.8482,101.079,83.4706
SLFNL1,0.133994,0.0261708,0,0.0197565,0.107573,0.103465,0.0596462,0.137116
ATP6V0D1,43.0703,52.3322,98.2072,56.3418,42.8924,55.0046,48.9671,57.0644
KIAA0195,16.0072,15.7484,5.90568,15.3883,22.9949,22.9743,22.795,19.0295
ZFR2,2.92015,2.69299,9.68375,8.23527,2.43913,4.18554,4.52274,4.87533
LOH12CR2,0.0968865,0.279295,0.579425,0.131406,0.107176,0.3174,0.159424,0.0726895
ZNF354B,2.42926,1.67185,0.458067,1.54654,1.73908,2.18429,2.10755,1.99459
OR52E4,0,0,0,0,0,0,0,0.0640727
DNAH14,14.21,13.0726,12.727,9.65021,13.7589,11.4031,9.36946,11.1483
CRELD1,18.969,11.3891,7.02032,8.5651,20.8677,13.7241,15.4665,9.65182
RABAC1,102.136,77.6799,238.517,56.2295,147.887,121.469,126.906,86.1649
TMEM109,51.7841,57.7288,28.5466,53.3476,52.7012,57.3965,45.3116,49.8926
SGTB,0.726834,0.781726,0.341575,1.19685,1.02928,1.18561,0.682738,0.868335
DENND6A,3.93836,4.81603,2.71775,3.64222,3.16189,5.52484,4.15851,3.27536
LIPM,0,0,0,0.0708125,0.0770342,0.0427175,0.043436,0.0396202
TGM7,0,0,0,0,0,0,0,0
KRT25,0,0,0,0.0295762,0,0,0.0358586,0
BCMO1,0,0,0,0,0,0,0,0
SELV,0.0283403,0.0918715,0.0680994,0.0288356,0.219386,0.383678,0.3146,0.191191
EIF2AK1,109.891,122.344,22.3792,98.271,116.394,105.998,128.403,71.7705
KIF3B,16.8631,16.3255,13.2588,18.224,17.0866,16.1462,17.8985,18.17
GPR142,0,0,0,0,0.0780986,0,0,0
B3GNT7,0.0457654,0.0246837,0.0280303,0,0.164277,0.0567699,0.0985505,0.0128153
HCG27,0.280099,0.210745,0.201991,0.0648268,0.0929274,0.162716,0.778646,0.062982
LYZL6,0,0,0,0,0,0,0,0
BEND7,0.553858,0.37837,0.351003,0.753375,0.220559,0.0736203,0.195893,0.120336
CDC42EP4,17.5469,15.7217,8.10964,15.7286,16.1227,16.9429,13.6611,12.8802
CTD-2117L12.1,0,0,0,0,0,0,0,0
AC017028.1,0,0,0,0,0,0,0,0
RP11-139J15.7,0.395214,1.08976e-07,0,1.32995e-07,2.03778e-07,2.35776e-07,8.06752e-08,2.00958e-07
RP11-351M8.1,0,0,0,0.195164,0,0,0,0
HAS3,2.31286,2.73135,1.63333,2.20993,1.92283,1.97176,1.87151,1.80682
RIPPLY2,0,0,0,0,0,0,0,0
TTC39C,2.91252,2.72985,2.70621,2.87102,3.00908,2.50826,3.55948,2.51842
OR5AS1,0,0,0,0,0,0,0,0
AC005003.1,2.05677,1.66298,7.10906,2.2685,2.74863,3.08922,3.17437,2.34146
ZNF764,2.06345,2.18424,1.20763,1.75878,2.42173,1.73808,1.33497,1.65956
OXCT2,0.143001,0.0561767,0.360195,0.158751,0.0718695,0.272292,0.256468,0.189919
MYO1E,3.93351,3.57572,5.20625,3.76386,4.5244,3.79166,3.59727,4.09889
HAUS7,4.30585,6.3954,6.85319,5.43971,3.69761,8.04651,3.84258,5.72388
LRP12,2.56122,1.34105,0.402767,1.16882,0.789988,0.609283,1.04639,0.480044
MATN1,0.0330825,0,0.0135147,0.0224655,0.0121792,0.0136818,0.0271372,0.0247012
GSG1L,0,0.050442,0.0548412,0.0473501,0,0,0,0.00940571
RPA3,45.0071,56.6573,161.203,46.1808,38.9132,58.5838,38.5801,44.3006
HOXA3,1.26238,0.793235,0.504064,0.536164,0.830054,0.556876,0.349126,0.278734
AL353791.1,0,0,0,0,0,0,0,0
CHCHD4,15.5321,16.5455,7.67658,15.8311,12.7296,17.2688,12.0295,16.1873
PDHA1,98.5129,100.405,90.9242,86.1371,95.6668,122.834,80.0586,96.6927
NOC2L,37.4312,51.1009,24.7974,48.3144,41.0943,50.6047,38.5898,46.8886
RP11-105C20.2,0,0,0,0,0,0,0,0
STK40,9.62831,7.06674,4.2433,7.86631,10.1886,7.65032,9.46607,8.40364
IP6K1,7.52671,8.41866,2.97634,9.40457,6.92141,8.6071,7.30276,8.49982
USP17L17,0,0,0,0,0,0,0,0
DDX23,35.3673,51.9532,22.9161,53.5517,38.0652,53.9422,37.3583,53.1502
SREK1IP1,2.76004,2.6774,6.6315,2.58748,2.96266,2.22498,3.03905,2.47536
ENPP3,0.143371,0.058034,0.050186,0.0383022,0.18,0.0892069,0.107994,0.112358
SLCO4A1,0.664639,1.32473,1.21055,1.6561,0.472062,0.979491,1.01319,1.38393
SLC16A1,2.86441,2.64576,1.81147,3.04768,4.38561,3.73974,5.33237,4.47979
TARSL2,1.3427,1.28326,0.735526,1.40362,1.0147,1.1102,1.08703,1.45129
KRT79,0,0,0.0540511,0,0,0,0,0
DLEU2L,0,0.353158,0.119268,0.286565,0.120199,0,0.269509,0.202334
ASCC2,16.391,17.0588,6.59553,17.6535,15.3799,16.579,14.4258,17.2957
GRIN3A,0.00517603,0.0278993,0.0191602,0.00527437,0,0.012879,0.00636357,0
ZNF416,1.14593,0.937024,0.274607,0.972319,0.92088,0.751735,0.940827,0.837365
RBM10,22.2935,22.5189,10.6122,23.0413,18.6131,22.9122,19.607,20.9822
GNAS,547.476,519.846,272.993,477.176,630.765,586.856,572.679,487.601
KLHL20,4.26365,4.04787,2.74633,4.61555,4.50566,3.62065,4.15782,4.15009
AC090673.2,0,0,0,0,0,0,0,0
SPOCK1,0.00854122,0.0404493,0.0524894,0.079812,0.018863,0,0.0539956,0.141223
DNAH10,0.00556017,0.0209737,0.00687994,0.0539396,0.0184112,0.0207754,0.0102503,0.0124315
AL020996.1,0.355591,0.312002,0.188219,0.38457,0.294794,0.301734,0.602549,0.274494
OR51T1,0,0,0,0,0,0,0,0
COMP,0,0.0426772,0,0,0,0.024421,0.111984,0.0665405
VSNL1,0,0,0,0,0,0,0,0
IQSEC3,0.0117918,0,0.0198901,0.00600673,0.0180418,0,0.0804279,0
ANO9,0.753057,0.585996,0.255635,0.695428,1.64487,1.03981,2.00583,1.68929
SH3BP2,8.40487,6.99701,2.14437,5.04781,4.68742,5.58124,5.20669,4.64845
RIBC2,2.78892,3.75084,2.88272,3.56308,3.16076,2.54673,2.98082,3.06323
LRAT,0,0.201756,0.203573,0,0.205334,0,0.0103174,0
ZBTB32,0,0.0514908,0.0287835,0,0.0527024,0.088195,0.0881473,0.026771
GSTO1,38.8667,39.506,114.754,33.9237,33.2807,36.8695,34.3746,29.8458
ATP6V0D2,0,0,0,0,0,0,0,0
CPNE9,0.223408,0.441641,0.405384,0.916727,0.942935,0.0551451,0.891246,0.0752559
C9orf50,0.0302127,0,0.0724446,0,0.0668323,0,0.0372747,0
MLXIPL,6.21896,6.14151,3.11462,5.26651,8.04695,6.61786,8.01721,4.99552
B3GNT4,6.68191,6.88721,12.5375,6.69453,6.01879,7.5048,5.8391,6.71531
BMP8A,0.114374,0.139042,0.034344,0.145464,0.126486,0.140749,0.105807,0.11253
SSX2,0.101791,0.143172,0.0964828,0.0620927,0.112673,0,0.100614,0.0688632
CLEC5A,0,0,0,0,0,0,0,0
ZNF260,3.21299,2.32985,0.951509,2.1171,3.19306,2.27184,3.08112,2.64276
PLBD2,8.83922,9.22436,0.903514,9.92712,8.48536,9.57072,9.45091,8.51431
TRPM4,18.4646,16.4217,5.38264,13.3615,16.7063,16.2054,16.3723,13.6712
OR6C4,0,0,0,0,0,0,0,0
CAPN13,1.99108,1.81146,0.420853,1.47449,2.09083,1.58841,1.29679,1.18093
PTPRH,0.152417,0.0469724,0.156889,0.105085,0.216428,0.165902,0.375069,0.329204
MESDC1,3.60024,5.34341,3.11018,4.60849,4.37021,4.4954,5.53543,3.6045
AC002553.1,0,0,0,0,0,0,0,0
RASA2,3.57282,3.6215,1.23879,3.17972,3.34699,2.77289,2.72571,2.82572
AL133481.1,0,0,0,0,0,0,0,0
ULK4,2.50781,1.44889,3.90134,1.61143,2.30067,2.30749,1.25346,2.57326
SERGEF,5.71041,6.25172,13.8938,6.67312,6.90747,5.61633,3.75113,4.83158
OR2J3,0,0,0,0,0,0,0,0
OR52E6,0,0.0687604,0,0.0643862,0,0,0,0.143801
POLR3K,11.7438,17.5983,31.9152,14.7503,13.3621,16.8343,14.0022,17.2941
TFAM,50.7306,66.9839,53.0302,63.6767,50.8184,49.2006,43.4244,55.1606
FZD4,3.7461,2.62561,1.87257,3.41657,4.74451,3.24018,5.40471,5.02105
ITIH3,0,0,0,0,0.0319258,0,0,0
PC,6.06698,5.53347,4.71986,4.46387,4.93079,5.03791,3.40675,4.43832
PLCD1,2.11578,1.87087,1.48901,1.15215,2.77566,2.83317,2.40591,1.25673
RNF214,20.9637,17.7627,15.2943,15.5718,19.7928,18.931,16.3054,14.4832
GRK4,2.61129,3.32584,1.99506,2.24629,2.71252,2.59615,2.34659,2.65812
LMAN1,27.2445,20.8845,10.1817,18.7954,27.4536,19.3823,25.8337,21.8577
PNPLA6,12.162,10.8097,25.2539,8.59842,11.3114,8.80051,11.6874,7.20819
SERPINH1,101.413,94.427,51.715,108.736,122.419,130.03,127.827,111.908
AP001579.1,0,0,0,0,0,0,0,0
OAZ2,69.9228,59.3665,36.6801,51.1936,80.163,67.6918,70.3402,50.9058
AGPAT4,1.66478,1.61449,2.25164,1.22006,4.62777,2.81234,7.74645,3.20981
SVOPL,1.88712,1.71027,2.28458,2.03685,2.9924,1.67104,2.4176,1.75137
CDC20,64.6862,86.2196,52.0398,82.6498,55.4709,83.7676,61.8027,79.6451
PHLDB1,9.62045,10.1721,2.92379,11.9159,9.69369,10.8562,11.1807,11.6505
GRP,0,0,0,0,0,0,0,0
PLA2G2C,0,0,0,0,0,0,0,0
ZNF259,18.4513,19.3161,16.1501,20.3884,14.9358,17.783,16.8625,18.0636
CD7,0,0,0.105612,0.0233781,0.0763911,0.192097,0.13797,0.0329666
OR52E8,0,0,0,0,0,0,0,0
CINP,48.4982,53.6056,76.0583,53.4359,53.0832,51.2232,44.3763,46.0489
APLF,0.0109802,0.0118439,0,0.0111846,0.0121269,0,0,0.0122975
RNF145,11.1891,9.32153,8.02481,9.8132,13.3084,9.90509,13.947,12.6991
MAGEB6,0.0240019,0.129622,0,0,0.0265345,0,0.0295864,0
CPXM1,0,0,0.0456878,0,0.0415682,0.0232502,0,0
CPM,4.90922,0.213173,0.090364,1.84304,9.87333,3.66521,9.07531,0.096902
PSIP1,21.7213,24.2735,43.6541,21.4674,21.695,22.2878,27.3592,22.4404
TAF1A,4.22254,5.27839,3.37996,3.35012,4.45197,2.965,3.96988,3.95147
SPATA31A2,0,0,0,0,0,0,0,0
BEND3,0.498925,0.792735,0.153657,0.829428,0.543601,0.726412,0.516642,0.602297
SEC24B,6.89316,6.04179,1.71743,6.26898,6.28662,5.77791,6.09531,5.75483
GOLGA6L9,1.26966,0.674259,0.790805,0.82653,0.888121,0.852181,1.04166,1.04956
NTN3,0.0469191,0.0253371,0.0283427,0.0716313,0.33714,0.318321,1.50362,0.790445
CD59,71.862,78.1898,77.4288,71.5473,56.9018,54.364,64.4671,58.9268
TFIP11,7.26105,8.88392,7.5747,9.28424,8.71798,9.25337,8.00567,8.94144
CYP4F31P,0.020213,0,0,0,0,0,0,0
PPIAL4D,0,0,0.0495184,0,0,0.0527045,0,0
AADACL3,0,0,0,0,0,0,0,0
RRP9,7.49875,12.2931,7.85735,10.648,8.81289,12.865,6.24569,11.3899
IQCE,18.2371,16.2924,6.85032,16.8806,19.0929,18.4726,18.2569,18.0724
MPEG1,0,0,0,0,0,0,0,0
KIAA1324L,16.408,8.3751,2.15878,10.9685,13.2849,9.85833,10.8831,6.61262
OR1J2,0,0,0,0,0,0,0,0
AHCY,136.727,171.471,71.5256,157.777,135.987,187.267,127.565,153.022
PYGL,12.4769,10.8941,8.15023,8.46348,12.886,11.2346,13.0352,8.06678
LRP1,2.34828,1.16957,0.555154,1.46454,3.01576,2.2329,4.13092,2.03333
MTMR9,2.29539,2.80206,1.1167,2.37224,2.20697,2.01702,1.69278,2.36908
SFR1,2.54164,4.56934,2.0524,3.34209,2.65388,3.11311,2.56841,3.51205
ALG6,6.84733,7.82726,9.81952,6.7136,7.11155,6.98084,5.29146,7.29548
SERPINB2,0.101425,0.0530448,0.118528,0.106325,0.0542912,0,0.121076,0.0275825
SEC13,50.2387,61.7903,53.6391,61.8717,65.4981,73.0434,61.6187,57.6031
KCNJ13,0.0147663,0,0,0.206073,0,0.0182886,0,0.016552
EFHD1,125.719,104.808,26.8163,114.596,130.503,95.6993,111.156,103.489
SNX4,20.4782,20.3146,6.95002,19.8123,23.0388,19.2465,21.7535,20.6046
HS3ST5,0,0,0,0,0,0,0,0
FAM188A,7.68912,7.37144,3.7735,8.14658,7.13307,7.46552,9.09861,10.1596
PDE5A,1.0943,0.426331,0.368374,0.524934,0.645023,0.515751,0.765958,0.692826
UBE2Q2,9.11632,8.16905,8.08402,8.67317,9.61433,8.44846,10.1508,9.515
PIGC,9.06777,10.0981,6.71919,10.722,9.97435,9.55927,9.95067,11.8564
LIF,0.212204,0.171665,0.33304,0.188801,0.123169,0.131666,0.18377,0.202
NAMPTL,1.56994,1.57014,0.77662,1.19402,1.90225,1.55234,1.80245,1.35327
NEK10,0.111771,0.625064,0.783486,0.626261,0.130302,0.260348,0.393205,0.92358
CRLF2,0,0,0,0,0,0,0,0
ARF5,66.2425,74.6255,189.494,67.4577,62.3818,68.4189,67.4741,59.1546
RUFY1,26.4623,19.7277,7.79413,17.1835,22.7334,19.5853,21.6958,17.6227
KRTAP10-8,0,0,0,0,0,0,0,0
LRRC6,0.467318,0.329548,1.84581,1.43233,0.553129,0.375484,0.961535,1.54218
OR4D11,0,0,0,0,0,0,0,0
ZNF878,0.277266,0.419424,0.133343,0.451398,0.153304,0.307208,0.307761,0.498732
EFNA2,0.171256,0.208039,0.337008,0.130745,0.496885,0.607925,0.712212,0.360476
SBK1,2.1178,1.89123,1.34257,2.26717,5.55394,4.65552,6.47133,3.50472
ZNF521,0.00965476,0.0106053,0,0.0501059,0,0,0,0.20747
SLC27A2,1.07047,1.63815,1.97848,2.16509,0.560347,0.812577,1.43423,1.41171
OSTC,59.8003,62.6669,83.7839,67.3344,57.7231,62.7655,67.7464,62.5136
IQCJ-SCHIP1,4.9495,6.57281,9.42862,13.1168,4.21901,3.24473,10.0753,6.74402
ARF4,54.9103,61.6129,63.7959,69.7479,65.1951,60.83,69.2182,69.3226
TEPP,0,0,0,0,0,0,0,0
DDX21,65.7994,69.8814,73.8696,67.5945,51.8071,56.612,49.6181,63.1447
PLEKHG2,4.68304,5.67444,2.87125,7.22379,8.8099,7.56252,11.5164,10.0134
WNT3,0.204434,0.137847,0.250036,0.208216,0.197588,0.0633583,0.283054,0.186105
CCDC104,16.9431,16.1906,21.49,16.5004,19.3887,17.5199,18.4793,16.8311
TPRN,16.452,15.6658,30.412,18.1637,16.749,16.8755,15.2747,16.2489
SOWAHA,1.55759,1.42696,1.45215,1.35981,0.710021,0.934991,1.30834,1.35722
CXCL12,48.8283,45.9768,31.107,35.6161,58.4115,53.945,43.0478,39.4592
